void,subject_id,segment,segment_number,mean_heart_rate,rsp_rate,rsp_peak_freq,resp_amp,rsp_power,mean_ibi,rsa,sdnn,avnn,rmssd,nn50,pnn50,filename
,5,A2,4,91.14,7.06,0.12,21.62,40.6,658.31,4.05,23.39,658.31,12.95,0,0,subject 005 A2.xlsx
,5,A2,5,86.27,10.76,0.18,15.44,28.11,695.47,4.84,28.01,695.47,14.6,0,0,subject 005 A2.xlsx
,5,A2,6,77.44,12.19,0.2,9.79,22.16,774.83,6.12,49.46,774.83,26.1,6,7.89,subject 005 A2.xlsx
,5,A2,7,79.74,10.3,0.17,4.58,10.33,752.42,6.27,48.28,752.42,26.3,5,6.41,subject 005 A2.xlsx
,5,A2,8,78.82,9.72,0.16,13.01,33.19,761.2,5.36,40.32,761.2,26.97,4,7.69,subject 005 A2.xlsx
,5,A2,9,79.02,12.99,0.22,2.73,4.45,759.28,5.09,42.36,759.28,26.02,4,5.26,subject 005 A2.xlsx
,5,A2,10,78.36,7.1,0.12,10.75,19.29,765.71,6.17,48.72,765.71,26.22,6,7.89,subject 005 A2.xlsx
,5,A2,11,82.86,11.71,0.2,2.83,7.01,724.13,6,36.11,724.13,18.9,0,0,subject 005 A2.xlsx
,5,A2,12,81.38,10.28,0.17,8.2,20.47,737.27,5.32,42.59,737.27,18.41,1,1.27,subject 005 A2.xlsx
,5,A2,13,81.21,11.49,0.19,6.54,11.9,738.81,5.76,58.35,738.81,27.4,6,7.59,subject 005 A2.xlsx
,5,A2,14,84.43,6.59,0.11,40.46,47.57,710.67,4.54,61.21,710.67,20.93,3,3.61,subject 005 A2.xlsx
,5,A2,15,80.67,14.44,0.24,8.95,17.07,743.81,4.96,55.66,743.81,18.39,3,3.85,subject 005 A2.xlsx
,5,A2,16,81.72,8.31,0.14,4.02,13.31,734.21,5.73,38.93,734.21,19.64,2,2.5,subject 005 A2.xlsx
,5,A2,17,82.9,11.25,0.19,21.79,51.3,723.74,5.87,41.11,723.74,20.77,1,1.23,subject 005 A2.xlsx
,5,A2,18,82.99,13.5,0.22,18,31.14,722.95,5.86,39.05,722.95,23.64,3,3.7,subject 005 A2.xlsx
,5,A2,19,83.23,8.49,0.14,12.33,34.59,720.87,5.56,39.47,720.87,23.66,7,8.64,subject 005 A2.xlsx
,5,A2,20,86.73,6.79,0.11,19.23,26.51,691.78,5.01,43.69,691.78,16.71,1,1.18,subject 005 A2.xlsx
,5,A2,21,82.51,16.12,0.27,4.51,7.43,727.23,5.4,49.26,727.23,20.14,1,1.25,subject 005 A2.xlsx
,5,A2,22,83.84,13.9,0.23,9.95,26.43,715.63,5.01,43.59,715.63,16.26,2,2.44,subject 005 A2.xlsx
,5,A2,23,84.27,7.08,0.12,19.83,33.96,712.02,4.98,41.7,712.02,19.61,2,2.44,subject 005 A2.xlsx
,5,A2,24,84.16,6.42,0.11,13.13,11.85,712.89,5.33,42.63,712.89,22.23,5,6.02,subject 005 A2.xlsx
